,STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID
195,6446,De Las Barrancas-A.Corral RP23,DeLasBarranc,De Las Barrancas-A.Corral RP23,-32.6894444444444,-64.7202777777778,,,Argentina,INA,Rio Parana,AR_INA_6446
196,6604,Areco - Puente Quemado,Areco-Puente,Areco - Puente Quemado,-34.2880555555556,-59.7027777777778,,,Argentina,INA,Rio Parana,AR_INA_6604
197,45,Ibicuy,Ibicuy,Ibicuy,-33.7619777376355,-59.1800594404244,,,Argentina,INA,Rio Parana,AR_INA_45
198,7305,Pescado - Cuatro Cedros,Pescado-Cuat,Pescado - Cuatro Cedros,-22.8294444444444,-64.5158333333333,,,Argentina,INA,Rio Paraguay,AR_INA_7305
199,7247,Bermejo - Balapuca MET,Bermejo-Bala,Bermejo - Balapuca MET,-22.4925,-64.4636111111111,,,Argentina,INA,Rio Paraguay,AR_INA_7247
200,40,Zárate,Zárate,Zárate,-34.0987818311696,-59.0108657589595,,,Argentina,INA,Rio Parana,AR_INA_40
201,6400,Paraná - Bella Vista,Paraná-Bella,Paraná - Bella Vista,-28.5052777777778,-59.0497222222222,,,Argentina,INA,Rio Parana,AR_INA_6400
202,7339,RMA08_BVI - Bella Vista,RMA08_BVI-Be,RMA08_BVI - Bella Vista,-28.5138888888889,-59.0275,,,Argentina,INA,Rio Parana,AR_INA_7339
203,6602,Iruya - El Molino,Iruya-ElMoli,Iruya - El Molino,-22.5988888888889,-65.1502777777778,,,Argentina,INA,Rio Paraguay,AR_INA_6602
204,7192,CIRHBAS - LIM LIMITE CHACO STA FE - CANAL LINEA PA,CIRHBAS-LIML,CIRHBAS - LIM LIMITE CHACO STA FE - CANAL LINEA PA,-28.0011111111111,-60.1161111111111,,,Argentina,INA,Rio Parana,AR_INA_7192
205,7284,Las Cañas - Clavillo MET,LasCañas-Cla,Las Cañas - Clavillo MET,-27.3994444444444,-65.9797222222222,,,Argentina,INA,,AR_INA_7284
206,2853,Gualeguay - Paso Alonso,Gualeguay-Pa,Gualeguay - Paso Alonso,-33.1005555555556,-59.2702777777778,,,Argentina,INA,Rio Parana,AR_INA_2853
207,2113,Aº Colastiné - Autopista - A01,AºColastiné-,Aº Colastiné - Autopista - A01,-32.0177777777778,-60.9902777777778,,,Argentina,INA,Rio Parana,AR_INA_2113
208,58,Bermejo,Bermejo,Bermejo,-26.92629,-58.506205,,,Argentina,INA,Rio Paraguay,AR_INA_58
209,6542,Puesto Cam. San Jaime - RN127,PuestoCam.Sa,Puesto Cam. San Jaime - RN127,-30.2827777777778,-58.2511111111111,,,Argentina,INA,Rio Uruguay,AR_INA_6542
210,6435,Piray Guazú - R. Nac. 12 Vieja,PirayGuazú-R,Piray Guazú - R. Nac. 12 Vieja,-26.4858333333333,-54.5883333333333,,,Argentina,INA,Rio Parana,AR_INA_6435
