STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID
2154,Bermejo - Pozo Sarmiento,Bermejo-Pozo,station 2154: Bermejo - Pozo Sarmiento - property of RHN,-23.1405555555556,-64.1969444444445,,Automatic,Argentina,INA,Rio Paraguay,AR_INA_2154
2156,Laguna Iberá - Carlos Pellegri,LagunaIberá-,station 2156: Laguna Iberá - Carlos Pellegri - property of RHN,-28.5380555555556,-57.1869444444444,,Automatic,Argentina,INA,Rio Parana,AR_INA_2156
2158,Aº Feliciano - Paso Medina,AºFeliciano-,station 2158: Aº Feliciano - Paso Medina - property of RHN,-30.9236111111111,-59.5511111111111,,Automatic,Argentina,INA,Rio Parana,AR_INA_2158
2166,Los Sosa - RP30 km19,LosSosa-RP30,station 2166: Los Sosa - RP30 km19 - property of RHN,-27.1008333333333,-65.6361111111111,,Automatic,Argentina,INA,,AR_INA_2166
2170,Atuel - Villa Atuel,Atuel-VillaA,station 2170: Atuel - Villa Atuel - property of RHN,-34.8225,-67.9227777777778,,Automatic,Argentina,INA,,AR_INA_2170
2175,Canal Macapillo,CanalMacapil,station 2175: Canal Macapillo - property of RHN,-25.4136111111111,-63.9761111111111,,Automatic,Argentina,INA,Rio Parana,AR_INA_2175
2177,Canal Liag - Quebrachal,CanalLiag-Qu,station 2177: Canal Liag - Quebrachal - property of RHN,-25.3452777777778,-64.045,,Automatic,Argentina,INA,Rio Parana,AR_INA_2177
2185,Dulce - Paso de la Cina,Dulce-Pasode,station 2185: Dulce - Paso de la Cina - property of RHN,-29.795,-62.8061111111111,,Automatic,Argentina,INA,,AR_INA_2185
2193,Bermejo - Puerto Lavalle,Bermejo-Puer,station 2193: Bermejo - Puerto Lavalle - property of RHN,-25.6511111111111,-60.1280555555556,,Automatic,Argentina,INA,Rio Paraguay,AR_INA_2193
2194,Bermejo - Puerto Velaz,Bermejo-Puer,station 2194: Bermejo - Puerto Velaz - property of RHN,-26.6605555555556,-58.6338888888889,,Automatic,Argentina,INA,Rio Paraguay,AR_INA_2194
2197,Salado - Pinto,Salado-Pinto,station 2197: Salado - Pinto - property of RHN,-29.1058333333333,-62.5761111111111,,Automatic,Argentina,INA,Rio Parana,AR_INA_2197
