STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
0-76-4-58400212,BE2AC2684CAA29153517D8C243156DF9AF7C1EB1,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-22.4775,-43.2569,,,Brazil,WHOS,
0-76-4-63250950,D86319E8A8D9436212375814B51B9420C57B5CBA,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-19.9794,-53.2694,,,Brazil,WHOS,Rio Parana
0-76-4-84531000,951A4BE40F4DC7F53AC91FFAA93926A87DB3CBD8,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-28.0492,-49.13,,,Brazil,WHOS,
0-76-0-3106200000000597,7949FC3F0EB08589F5B344C71BD5385694EA6444,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-19.97999999,-43.95861111,,,Brazil,INMET,
0-76-4-41153050,A0807C723EBE7F982D55680D2BA4BF9C5EA79A9F,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-20.2628,-43.6975,,,Brazil,WHOS,
0-76-4-61783100,531BDF702993785CBB578ED3DE51973A1E9D810F,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-20.6042,-47.7392,,,Brazil,WHOS,Rio Parana
0-76-4-64241300,CC934FD1322030FD736AFB6646D6DDD9432AF683,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-24.1364,-49.6511,,,Brazil,WHOS,Rio Parana
0-76-4-75305000,49BFC824A803A7B7E0890D0DFDC8A3C35CED9ACF,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-28.1997,-54.6431,,,Brazil,WHOS,Rio Uruguay
0-76-4-42450510,B65BB15C9867ABB8BB37E905344F751D669C8E1D,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-15.8458,-47.3853,,,Brazil,WHOS,
0-76-4-58512030,61F16DC774110382B7DAA07B7B3E030B3317E4C3,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-21.7497,-43.6803,,,Brazil,WHOS,
0-76-0-3170404000000212,A2C37EC926C80B2889BE2A89EAF32D50BC4254BB,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-16.55416666,-46.88194443,,,Brazil,INMET,
0-76-4-62606000,8446A0F99855CC7EDBE1594B7866C47937B22BD0,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-22.8186,-46.8844,,,Brazil,WHOS,Rio Parana
0-76-4-60765000,CA58FB8AEDA2ED7CDAD0B6A9468ECD757CB00F15,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-17.7322,-50.1808,,,Brazil,WHOS,Rio Parana
0-76-4-56093000,2477BFEB5A72BF6C2DD61C621DEB4FAEC713ABD0,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-20.6694,-43.0875,,,Brazil,WHOS,
0-76-4-61895075,E5A88E6C284BE93BAD088FE738D559ABC5C0576C,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-21.8744,-46.8922,,,Brazil,WHOS,Rio Parana
0-76-0-3542206000000103,600E06450ED5A4EDC79A107DC51D6F8BD46B1BF9,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-22.37277777,-50.97472221,,,Brazil,INMET,Rio Parana
0-76-4-85400000,B6D210FA4BD3C93C97EB745111962927CF9CDA61,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-29.6269,-53.3528,,,Brazil,WHOS,
0-76-4-66400360,62B956E788255A3DEEF19DB7565035BFBDA27A78,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-16.0394,-54.9397,,,Brazil,WHOS,Rio Paraguay
0-76-4-85380500,783BF12B288C738DD30783D4B1632CBB11B97217,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-29.2311,-53.1175,,,Brazil,WHOS,
0-76-4-66941000,DA91944FF960E5171E56CEC3F01B87950EFE6370,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-20.4481,-55.4281,,,Brazil,WHOS,Rio Paraguay
0-76-4-2956013,91B42FBF0B1473ABB984EAA136EDA249341D5520,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-29.7786,-56.5206,,,Brazil,WHOS,Rio Uruguay
0-76-4-58517000,7D126E9C410E7B2C1FA716FE7C5C90CA95EEC7EA,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-21.8769,-43.3269,,,Brazil,WHOS,
0-76-0-3110509000000071,E05E9FDB6F6937C32EF1B73EBA9DF98EBF59DBB5,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-22.86166666,-46.04333333,,,Brazil,INMET,Rio Parana
0-76-0-4306106000000203,BFBACB0283E9936827090C02431D5AA52399AA94,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-28.60344,-53.673597,,,Brazil,INMET,Rio Uruguay
