STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_RED,IMPORT,THRESHOLD_p05,THRESHOLD_p50,THRESHOLD_p95,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
2125,2125,2,,m,INA,,,,True,,,,-43.1747222222222,-71.6236111111111,,Automatic,Argentina,INA,
2127,2127,2,,m,INA,,,,True,,,,-36.2911111111111,-66.8291666666667,,Automatic,Argentina,INA,
2129,2129,2,,m,INA,,,,True,,,,-34.0866666666667,-60.0072222222222,,Automatic,Argentina,INA,Rio Parana
2130,2130,2,,m,INA,,,,True,,,,-35.0833333333333,-69.6041666666667,,Automatic,Argentina,INA,
2131,2131,2,,m,INA,2.74,6.84,7.54,True,,,,-27.2663888888889,-58.2444444444444,,Automatic,Argentina,INA,Rio Parana
2132,2132,2,,m,INA,2.6,5.2,5.7,True,,,,-29.165,-59.3283333333333,,Automatic,Argentina,INA,Rio Parana
2133,2133,2,,m,INA,4.16,7.11,7.76,True,,,,-25.3719444444444,-57.6502777777778,,Automatic,Argentina,INA,Rio Paraguay
2135,2135,2,,m,INA,,,,True,,,,-31.8552777777778,-69.6605555555556,,Automatic,Argentina,INA,
2136,2136,2,,m,INA,,,,True,,,,-35.1975,-69.7672222222222,,Automatic,Argentina,INA,
2137,2137,2,,m,INA,,,,True,,,,-35.8711111111111,-69.9502777777778,,Automatic,Argentina,INA,
2139,2139,2,,m,INA,,,,True,,,,-31.9741666666667,-60.9138888888889,,Automatic,Argentina,INA,Rio Parana
2141,2141,2,,m,INA,,,,True,,,,-42.9858333333333,-71.4877777777778,,Automatic,Argentina,INA,
2142,2142,2,,m,INA,,,,True,,,,-40.1197222222222,-71.6619444444444,,Automatic,Argentina,INA,
2143,2143,2,,m,INA,,,,True,,,,-45.9861111111111,-69.475,,Automatic,Argentina,INA,
2144,2144,2,,m,INA,,,,True,,,,-41.8986111111111,-71.5025,,Automatic,Argentina,INA,
