,STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
1053,0-76-4-56800700,PCH JACARE MONTANTE 1,PCHJACAREMON,PCH JACARE MONTANTE 1,-18.975,-43.0181,,,Brazil,WHOS,
1054,0-76-4-86488000,PCH CACADOR MONTANTE,PCHCACADORMO,PCH CACADOR MONTANTE,-28.6847,-51.8506,,,Brazil,WHOS,
1055,0-76-4-58517000,UHE SOBRAGI MONTANTE 2,UHESOBRAGIMO,UHE SOBRAGI MONTANTE 2,-21.8769,-43.3269,,,Brazil,WHOS,
1056,0-76-4-72860080,CGH SALTO DO LEAO BARRAMENTO,CGHSALTODOLE,CGH SALTO DO LEAO BARRAMENTO,-27.3147,-51.475,,,Brazil,WHOS,Rio Uruguay
1057,0-76-4-64221500,UHE PARANAPANEMA JUSANTE,UHEPARANAPAN,UHE PARANAPANEMA JUSANTE,-23.1789,-49.3922,,,Brazil,WHOS,Rio Parana
1058,0-76-0-3104007000W83579,ARAXA,ARAXA,ARAXA,-19.60555555,-46.94972221,,,Brazil,INMET,Rio Parana
1059,0-76-4-24035000,PCH ALTO ARAGUAIA MONTANTE 2,PCHALTOARAGU,PCH ALTO ARAGUAIA MONTANTE 2,-17.3322,-53.205,,,Brazil,WHOS,
1060,0-76-4-58116900,UHE JAGUARI CACHOEIRA DO JAGUARIBE,UHEJAGUARICA,UHE JAGUARI CACHOEIRA DO JAGUARIBE,-23.3303,-46.2811,,,Brazil,WHOS,
1061,0-76-4-60510100,UHE CORUMBA I MONTANTE 2,UHECORUMBAIM,UHE CORUMBA I MONTANTE 2,-17.0169,-47.9275,,,Brazil,WHOS,Rio Parana
1062,0-76-4-41090002,PCH SALTO DO PARAOPEBA PONTE BR-040,PCHSALTODOPA,PCH SALTO DO PARAOPEBA PONTE BR-040,-18.1089,-45.4619,,,Brazil,WHOS,
1063,0-76-4-75325000,UHE SAO JOSE BARRAMENTO,UHESAOJOSEBA,UHE SAO JOSE BARRAMENTO,-28.1778,-54.8144,,,Brazil,WHOS,Rio Uruguay
1064,0-76-4-65035001,UHE GOV. NEY AMINTHAS PORTO AMAZONAS,UHEGOV.NEYAM,UHE GOV. NEY AMINTHAS PORTO AMAZONAS,-25.5481,-49.8894,,,Brazil,WHOS,Rio Parana
1065,0-76-4-60477380,RIBEIRAO TORTO JUSANTE CORREGO URUBU,RIBEIRAOTORT,RIBEIRAO TORTO JUSANTE CORREGO URUBU,-15.7219,-47.8681,,,Brazil,WHOS,Rio Parana
