STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORGANIZATION,SUBBASIN
C52D53E9AF769A17DF9A72AC895A6F5FF7CF231E,Nogoyá Ruta Provincial nº 11,NogoyáRutaPr,Nogoyá Ruta Provincial nº 11,-32.841975,-59.864625,,Argentina,Instituto Nacional del Agua (INA),
C536B53EF3CD5FE4C5F9270AAA1625819889E6C6,BETIM - GUANABARA,BETIM-GUANAB,BETIM - GUANABARA,-19.95773,-44.13962,,Brazil,,
C53ACC534907934A645CEC73487E6C7137E6B8CE,MARILIA - NOVA MARILIA,MARILIA-NOVA,MARILIA - NOVA MARILIA,-22.25,-49.932,,Brazil,,
C53C5B81F877185603D1684AD78057680B29C660,SAO PAULO - JARDIM IMPERADOR,SAOPAULO-JAR,SAO PAULO - JARDIM IMPERADOR,-23.64412,-46.60851,,Brazil,,
C53F579495F54F47D3B820B25D3C7F9BF3F9FA1D,FAZENDA IPANEMA,FAZENDAIPANE,FAZENDA IPANEMA,-23.42,-47.58,,Brazil,INMET,
C54465EFE0E92F8E9BBE5AE03FA2990D56AFFF13,SONHEM,SONHEM,SONHEM,-15.5231,-47.8158,,Brazil,National Water Agency of Brazil,
C5476BEEAF68B61F5993CEB70A84B92C995E8A63,Río Paraná Guazú - Brazo Largo,RíoParanáGua,Río Paraná Guazú - Brazo Largo,-33.8830555555556,-58.9,,Argentina,Instituto Nacional del Agua (INA),
C54D622760226F30551484B87FDA85E4B1529E72,Río San Fransisco Caimancito,RíoSanFransi,Río San Fransisco Caimancito,-23.7119444444444,-64.5397222222222,,Argentina,Instituto Nacional del Agua (INA),
C5608626FBC40B9457649772DADFC9E465F4E2BA,CAMPO LARGO - VILA BANCARIA,CAMPOLARGO-V,CAMPO LARGO - VILA BANCARIA,-25.46856,-49.52551,,Brazil,,
C561966D6200F7F59CFB1C803940E3F1D5DD2EA2,Canal de Dios,CanaldeDios,Canal de Dios,-25.6108333333333,-63.9480555555556,,Argentina,Instituto Nacional del Agua (INA),
C56D85772200D2F4F0ED491CB70AF28B0482CC88,El Trompo,ElTrompo,El Trompo,-30.971026,-58.247317,,Argentina,Instituto Nacional del Agua (INA),
C584066BED820975E3B4AF4A571D79C94D9AFE60,CGH ITUERÊ MONTANTE 1,CGHITUERÊMON,CGH ITUERÊ MONTANTE 1,-21.2872,-43.2286,,Brazil,National Water Agency of Brazil,
C590D096D225A82C2F73F44315436FF3FB1C5E77,El Rey - Ruta Nacional Nº 011,ElRey-RutaNa,El Rey - Ruta Nacional Nº 011,-29.1333333333333,-59.6546944444444,,Argentina,Instituto Nacional del Agua (INA),
C59FFB9E84D15EDE86DB81C0E407564818D5A450,JOINVILLE - ESTRADA GERAL SALTO I,JOINVILLE-ES,JOINVILLE - ESTRADA GERAL SALTO I,-26.296,-48.988,,Brazil,,
C5A6A56618C47B3FFDFA3BD33B8DC81394E43D66,PCH UNAÍ BAIXO JUSANTE,PCHUNAÍBAIXO,PCH UNAÍ BAIXO JUSANTE,-16.19,-47.0256,,Brazil,National Water Agency of Brazil,
C5A9715A4B2C82FA7635F88BAC1E14186A73F725,NOVA IGUACU - JARDIM OCIDENTAL,NOVAIGUACU-J,NOVA IGUACU - JARDIM OCIDENTAL,-22.709,-43.455,,Brazil,,
C5B3BFCA79C6E5F1A816C9FE0DF3110FB172EB55,IPEUNA - CENTRO,IPEUNA-CENTR,IPEUNA - CENTRO,-22.43577,-47.71991,,Brazil,,
C5D6296C83CBCB322D0255FF111C2650F48EB9F2,IPORANGA - CENTRO,IPORANGA-CEN,IPORANGA - CENTRO,-24.58499999,-48.59388888,,Brazil,,
C5E647BB1FA659FBB88DDAB2E5581195093E2444,Paraná - Itatí,Paraná-Itatí,Paraná - Itatí,-27.26625,-58.2443055555556,,Argentina,Instituto Nacional del Agua (INA),
C5EDCCC0483833353B1F0F049D23B1F219F6DB87,TANGARA DA SERRA,TANGARADASER,TANGARA DA SERRA,-14.65,-57.43166666,,Brazil,INMET,
C5F43B84DFC988D6DBEC52D2C7ECC1CA3A6F894C,PCH PIRAPORA JUSANTE,PCHPIRAPORAJ,PCH PIRAPORA JUSANTE,-23.3914,-47.0039,,Brazil,National Water Agency of Brazil,
C5FD15FD629C2DFAFD0F8E8E26DAF81663B17EB9,SABARA - BORBA GATO,SABARA-BORBA,SABARA - BORBA GATO,-19.833,-43.844,,Brazil,,
C605C93187AE303E37E40508A1538A3E7F50D277,SABARA - RAVENA,SABARA-RAVEN,SABARA - RAVENA,-19.79,-43.755,,Brazil,,
C60DCEE1DB653635100C8985D778DDC4A0DB3748,PCH BELA UNIÃO BARRAMENTO,PCHBELAUNIÃO,PCH BELA UNIÃO BARRAMENTO,-27.7817,-54.3736,,Brazil,National Water Agency of Brazil,
C625276ECBC7B306CC68E78890A9C1ADCDF0F66D,CAPITAN MEZA,CAPITANMEZA,CAPITAN MEZA,-26.666670000000003,-55.183330000000005,,,SEQU,
C6375BE6162673DE3B3548BC01821D22EEE3C41E,OBSERVATORIO KM-47,OBSERVATORIO,OBSERVATORIO KM-47,-22.77,-43.68,,Brazil,INMET,
C6389F11C55865264D9494ACA02B474687299FC4,PCH IBIRAMA BARRAMENTO,PCHIBIRAMABA,PCH IBIRAMA BARRAMENTO,-27.0375,-49.5686,,Brazil,National Water Agency of Brazil,
C63B5EEE14E9C073AC7876975923377C11848E5B,UHE NILO PEÇANHA RES. TOCOS BARRAMENTO,UHENILOPEÇAN,UHE NILO PEÇANHA RES. TOCOS BARRAMENTO,-22.7489,-44.1247,,Brazil,National Water Agency of Brazil,
C6513C5C25D8CCCB06768E16E06D30C9EAFB4441,NOVA IGUACU - JARDIM GUANDU,NOVAIGUACU-J,NOVA IGUACU - JARDIM GUANDU,-22.828,-43.608,,Brazil,,
C65273FCB55525C714E9FFFE0F75D4F5806A5166,ROSANA,ROSANA,ROSANA,-22.6,-52.8694444,,Brazil,SAR - Agência Nacional de Águas (ANA),
C6601AEE2B125C4BB4793F437B79E026FDA2EDE1,JUIZ DE FORA - SANTA RITA DE CASSIA,JUIZDEFORA-S,JUIZ DE FORA - SANTA RITA DE CASSIA,-21.733333,-43.341917,,Brazil,,
C67D14AAF1AF0281283F276F467A9C1F408E2448,BARRAGEM OESTE,BARRAGEMOEST,BARRAGEM OESTE,-27.0972,-50.0386,,Brazil,National Water Agency of Brazil,
C6839C0E74F3D566B1FC6F573A07449F7991FB16,UBERLANDIA,UBERLANDIA,UBERLANDIA,-18.91707,-48.255660000000006,,,SBBX,
C6905524D4A70F41127B134DC7894E0C7973050F,TAQUARA,TAQUARA,TAQUARA,-29.75,-50.75,,Brazil,INMET,
C6A7D3D2BDCCD7F3F8C01B2966B40BC0FFD497A2,ALVINOPOLIS - CENTRO,ALVINOPOLIS-,ALVINOPOLIS - CENTRO,-20.108352,-43.057883,,Brazil,,
C6D2F64857E8CC1D7A7B83B94C352B395F268CA0,VOLTA GRANDE,VOLTAGRANDE,VOLTA GRANDE,-20.0166667,-48.2333333,,Brazil,SAR - Agência Nacional de Águas (ANA),
C6D392958CA2E1C70982293AF73509D8A65E52A3,RIO CLARO,RIOCLARO,RIO CLARO,-22.653579,-44.040916,,Brazil,INMET,
C6E3C05D2E3E4422C1966780E67036807B88C7BB,CGH JAGUARICATU I BARRAMENTO,CGHJAGUARICA,CGH JAGUARICATU I BARRAMENTO,-24.2056,-49.4856,,Brazil,National Water Agency of Brazil,
C6EA44DF76D1F93B4D0D97D5C115D2AA93342362,PCH BARRINHA BARRAMENTO,PCHBARRINHAB,PCH BARRINHA BARRAMENTO,-26.6931,-52.9003,,Brazil,National Water Agency of Brazil,
C6F178708D28AD2349D0357EAF48757AE6F875B8,PCH RODEIO BONITO BARRAMENTO,PCHRODEIOBON,PCH RODEIO BONITO BARRAMENTO,-27.1097,-52.4847,,Brazil,National Water Agency of Brazil,
C7260024FF11B0A928ECC73EB111E77A3EFB4BAC,ARARAQUARA - VILA INDEPENDENCIA,ARARAQUARA-V,ARARAQUARA - VILA INDEPENDENCIA,-21.768,-48.181,,Brazil,,
C72D370A931C621F80DFA6577DCB896F783CCCD0,FORQUILHINHA,FORQUILHINHA,FORQUILHINHA,-28.7492,-49.4744,,Brazil,National Water Agency of Brazil,
C7313205AA63D97841B45B102559B0F617ADCF0D,TANGARÁ,TANGARÁ,TANGARÁ,-27.0881,-51.2581,,Brazil,National Water Agency of Brazil,
