STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE
33BD2F8FDBDE0C6B04B1CB41BA5B4E1488A0B434,33BD2F8FDBDE0C6B04B1CB41BA5B4E1488A0B434,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
6B3060F2C1057D7CAE948F3E316810AF42A00491,6B3060F2C1057D7CAE948F3E316810AF42A00491,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
31F2622A49B8C30C684ED37BE27220ADDDB4FC02,31F2622A49B8C30C684ED37BE27220ADDDB4FC02,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
5C43EDB977E065E22DCC67D698371258DFF9C330,5C43EDB977E065E22DCC67D698371258DFF9C330,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
A9CE2B3A5AF69C2F31D65C31E3CA37D107BA5501,A9CE2B3A5AF69C2F31D65C31E3CA37D107BA5501,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
4DFC3316636E8B57FD720A76D9C03A98C71680FF,4DFC3316636E8B57FD720A76D9C03A98C71680FF,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
718119618EC19325E3AAA5E6D8B7A247967E819F,718119618EC19325E3AAA5E6D8B7A247967E819F,7075721786F52D17847D1D6369D0F3E794795E5C,3.0,millimetre,WHOS
AC8AB90EF6258C06F123AB339388820EC6C4E3F3,AC8AB90EF6258C06F123AB339388820EC6C4E3F3,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
833118D6EC6B9B351D153B2EDEA9DD55ABF0FBA8,833118D6EC6B9B351D153B2EDEA9DD55ABF0FBA8,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
026A12451A5B9BD6E54B125B70500B786E8C57ED,026A12451A5B9BD6E54B125B70500B786E8C57ED,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
3A8103C5D193610DDCF0DD40F5BAA326FA4B9BAF,3A8103C5D193610DDCF0DD40F5BAA326FA4B9BAF,7075721786F52D17847D1D6369D0F3E794795E5C,3.0,millimetre,WHOS
990CFC9220C68BFEC230C4FBB827B3A361E842BB,990CFC9220C68BFEC230C4FBB827B3A361E842BB,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
0ED7C4706E055E2DCC9D19C1AB9C0B060C52F90A,0ED7C4706E055E2DCC9D19C1AB9C0B060C52F90A,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,millimetre,WHOS
6343337B6598BF4BE865375DED308EA48258BCB3,6343337B6598BF4BE865375DED308EA48258BCB3,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
AC4293B24BDE7B349B223EFEFB7CA819DFDAD7F7,AC4293B24BDE7B349B223EFEFB7CA819DFDAD7F7,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
7D08EF459B3397766E45F9BBFE714B9F2B1C18D1,7D08EF459B3397766E45F9BBFE714B9F2B1C18D1,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
